file,line,type,commit,author,date,time,timezone,datetime,depth,length
styles.css,1,css,cb377e7f,VivianChencwy,2025-10-07,22:11:00,-07:00,2025-10-07T22:11:00-07:00,0,4
styles.css,2,css,b0d493a4,VivianChencwy,2025-10-17,21:25:23,-07:00,2025-10-17T21:25:23-07:00,1,22
styles.css,3,css,b0d493a4,VivianChencwy,2025-10-17,21:25:23,-07:00,2025-10-17T21:25:23-07:00,1,18
styles.css,4,css,d79c441,Weiyu Chen,2025-10-02,11:28:51,-07:00,2025-10-02T11:28:51-07:00,0,0
styles.css,5,css,d79c441,Weiyu Chen,2025-10-02,11:28:51,-07:00,2025-10-02T11:28:51-07:00,0,0
styles.css,6,css,6985481e,VivianChencwy,2025-10-07,22:30:52,-07:00,2025-10-07T22:30:52-07:00,0,1
styles.css,7,css,6985481e,VivianChencwy,2025-10-07,22:30:52,-07:00,2025-10-07T22:30:52-07:00,1,8
styles.css,8,css,6985481e,VivianChencwy,2025-10-07,22:30:52,-07:00,2025-10-07T22:30:52-07:00,1,9
styles.css,9,css,6985481e,VivianChencwy,2025-10-07,22:30:52,-07:00,2025-10-07T22:30:52-07:00,1,21
styles.css,10,css,6985481e,VivianChencwy,2025-10-07,22:30:52,-07:00,2025-10-07T22:30:52-07:00,0,0
styles.css,11,css,6985481e,VivianChencwy,2025-10-07,22:30:52,-07:00,2025-10-07T22:30:52-07:00,0,0
styles.css,12,css,d79c441,Weiyu Chen,2025-10-02,11:28:51,-07:00,2025-10-02T11:28:51-07:00,0,4
styles.css,13,css,cb377e7f,VivianChencwy,2025-10-07,22:11:00,-07:00,2025-10-07T22:11:00-07:00,1,59
styles.css,14,css,d79c441,Weiyu Chen,2025-10-02,11:28:51,-07:00,2025-10-02T11:28:51-07:00,1,15
styles.css,15,css,6985481e,VivianChencwy,2025-10-07,22:30:52,-07:00,2025-10-07T22:30:52-07:00,1,10
styles.css,16,css,a5d2fd70,VivianChencwy,2025-10-07,22:50:01,-07:00,2025-10-07T22:50:01-07:00,1,24
styles.css,17,css,cb377e7f,VivianChencwy,2025-10-07,22:11:00,-07:00,2025-10-07T22:11:00-07:00,1,15
styles.css,18,css,cb377e7f,VivianChencwy,2025-10-07,22:11:00,-07:00,2025-10-07T22:11:00-07:00,1,18
styles.css,19,css,cb377e7f,VivianChencwy,2025-10-07,22:11:00,-07:00,2025-10-07T22:11:00-07:00,1,11
styles.css,20,css,085b7613,VivianChencwy,2025-10-02,12:53:15,-07:00,2025-10-02T12:53:15-07:00,0,0
styles.css,21,css,085b7613,VivianChencwy,2025-10-02,12:53:15,-07:00,2025-10-02T12:53:15-07:00,0,0
styles.css,22,css,b0d493a4,VivianChencwy,2025-10-17,21:25:23,-07:00,2025-10-17T21:25:23-07:00,0,0
styles.css,23,css,b0d493a4,VivianChencwy,2025-10-17,21:25:23,-07:00,2025-10-17T21:25:23-07:00,0,14
styles.css,24,css,b0d493a4,VivianChencwy,2025-10-17,21:25:23,-07:00,2025-10-17T21:25:23-07:00,1,22
styles.css,25,css,b0d493a4,VivianChencwy,2025-10-17,21:25:23,-07:00,2025-10-17T21:25:23-07:00,0,0
styles.css,26,css,b0d493a4,VivianChencwy,2025-10-17,21:25:23,-07:00,2025-10-17T21:25:23-07:00,0,0
styles.css,27,css,b0d493a4,VivianChencwy,2025-10-17,21:25:23,-07:00,2025-10-17T21:25:23-07:00,0,19
styles.css,28,css,b0d493a4,VivianChencwy,2025-10-17,21:25:23,-07:00,2025-10-17T21:25:23-07:00,1,24
styles.css,29,css,b0d493a4,VivianChencwy,2025-10-17,21:25:23,-07:00,2025-10-17T21:25:23-07:00,1,13
styles.css,30,css,b0d493a4,VivianChencwy,2025-10-17,21:25:23,-07:00,2025-10-17T21:25:23-07:00,0,0
styles.css,31,css,b0d493a4,VivianChencwy,2025-10-17,21:25:23,-07:00,2025-10-17T21:25:23-07:00,0,0
styles.css,32,css,b0d493a4,VivianChencwy,2025-10-17,21:25:23,-07:00,2025-10-17T21:25:23-07:00,0,24
styles.css,33,css,b0d493a4,VivianChencwy,2025-10-17,21:25:23,-07:00,2025-10-17T21:25:23-07:00,1,24
styles.css,34,css,b0d493a4,VivianChencwy,2025-10-17,21:25:23,-07:00,2025-10-17T21:25:23-07:00,0,0
styles.css,35,css,b0d493a4,VivianChencwy,2025-10-17,21:25:23,-07:00,2025-10-17T21:25:23-07:00,0,0
styles.css,36,css,b0d493a4,VivianChencwy,2025-10-17,21:25:23,-07:00,2025-10-17T21:25:23-07:00,0,31
styles.css,37,css,b0d493a4,VivianChencwy,2025-10-17,21:25:23,-07:00,2025-10-17T21:25:23-07:00,1,13
styles.css,38,css,b0d493a4,VivianChencwy,2025-10-17,21:25:23,-07:00,2025-10-17T21:25:23-07:00,0,0
styles.css,39,css,b0d493a4,VivianChencwy,2025-10-17,21:25:23,-07:00,2025-10-17T21:25:23-07:00,0,0
styles.css,40,css,b0d493a4,VivianChencwy,2025-10-17,21:25:23,-07:00,2025-10-17T21:25:23-07:00,0,37
styles.css,41,css,b0d493a4,VivianChencwy,2025-10-17,21:25:23,-07:00,2025-10-17T21:25:23-07:00,1,24
styles.css,42,css,b0d493a4,VivianChencwy,2025-10-17,21:25:23,-07:00,2025-10-17T21:25:23-07:00,1,13
styles.css,43,css,b0d493a4,VivianChencwy,2025-10-17,21:25:23,-07:00,2025-10-17T21:25:23-07:00,0,0
styles.css,44,css,b0d493a4,VivianChencwy,2025-10-17,21:25:23,-07:00,2025-10-17T21:25:23-07:00,0,0
styles.css,45,css,b0d493a4,VivianChencwy,2025-10-17,21:25:23,-07:00,2025-10-17T21:25:23-07:00,0,39
styles.css,46,css,b0d493a4,VivianChencwy,2025-10-17,21:25:23,-07:00,2025-10-17T21:25:23-07:00,1,24
styles.css,47,css,b0d493a4,VivianChencwy,2025-10-17,21:25:23,-07:00,2025-10-17T21:25:23-07:00,1,13
styles.css,48,css,b0d493a4,VivianChencwy,2025-10-17,21:25:23,-07:00,2025-10-17T21:25:23-07:00,0,0
styles.css,49,css,b0d493a4,VivianChencwy,2025-10-17,21:25:23,-07:00,2025-10-17T21:25:23-07:00,0,0
styles.css,50,css,b0d493a4,VivianChencwy,2025-10-17,21:25:23,-07:00,2025-10-17T21:25:23-07:00,0,20
styles.css,51,css,b0d493a4,VivianChencwy,2025-10-17,21:25:23,-07:00,2025-10-17T21:25:23-07:00,1,24
styles.css,52,css,b0d493a4,VivianChencwy,2025-10-17,21:25:23,-07:00,2025-10-17T21:25:23-07:00,1,27
styles.css,53,css,b0d493a4,VivianChencwy,2025-10-17,21:25:23,-07:00,2025-10-17T21:25:23-07:00,0,0
styles.css,54,css,b0d493a4,VivianChencwy,2025-10-17,21:25:23,-07:00,2025-10-17T21:25:23-07:00,0,0
styles.css,55,css,b0d493a4,VivianChencwy,2025-10-17,21:25:23,-07:00,2025-10-17T21:25:23-07:00,0,27
styles.css,56,css,b0d493a4,VivianChencwy,2025-10-17,21:25:23,-07:00,2025-10-17T21:25:23-07:00,1,13
styles.css,57,css,b0d493a4,VivianChencwy,2025-10-17,21:25:23,-07:00,2025-10-17T21:25:23-07:00,0,0
styles.css,58,css,b0d493a4,VivianChencwy,2025-10-17,21:25:23,-07:00,2025-10-17T21:25:23-07:00,0,0
styles.css,59,css,b0d493a4,VivianChencwy,2025-10-17,21:25:23,-07:00,2025-10-17T21:25:23-07:00,0,32
styles.css,60,css,b0d493a4,VivianChencwy,2025-10-17,21:25:23,-07:00,2025-10-17T21:25:23-07:00,1,13
styles.css,61,css,b0d493a4,VivianChencwy,2025-10-17,21:25:23,-07:00,2025-10-17T21:25:23-07:00,0,0
styles.css,62,css,b0d493a4,VivianChencwy,2025-10-17,21:25:23,-07:00,2025-10-17T21:25:23-07:00,0,0
styles.css,63,css,b0d493a4,VivianChencwy,2025-10-17,21:25:23,-07:00,2025-10-17T21:25:23-07:00,0,28
styles.css,64,css,b0d493a4,VivianChencwy,2025-10-17,21:25:23,-07:00,2025-10-17T21:25:23-07:00,1,13
styles.css,65,css,b0d493a4,VivianChencwy,2025-10-17,21:25:23,-07:00,2025-10-17T21:25:23-07:00,0,0
styles.css,66,css,b0d493a4,VivianChencwy,2025-10-17,21:25:23,-07:00,2025-10-17T21:25:23-07:00,0,0
styles.css,67,css,b0d493a4,VivianChencwy,2025-10-17,21:25:23,-07:00,2025-10-17T21:25:23-07:00,0,20
styles.css,68,css,b0d493a4,VivianChencwy,2025-10-17,21:25:23,-07:00,2025-10-17T21:25:23-07:00,1,24
styles.css,69,css,b0d493a4,VivianChencwy,2025-10-17,21:25:23,-07:00,2025-10-17T21:25:23-07:00,1,20
styles.css,70,css,b0d493a4,VivianChencwy,2025-10-17,21:25:23,-07:00,2025-10-17T21:25:23-07:00,0,0
styles.css,71,css,b0d493a4,VivianChencwy,2025-10-17,21:25:23,-07:00,2025-10-17T21:25:23-07:00,0,0
styles.css,72,css,b0d493a4,VivianChencwy,2025-10-17,21:25:23,-07:00,2025-10-17T21:25:23-07:00,0,26
styles.css,73,css,b0d493a4,VivianChencwy,2025-10-17,21:25:23,-07:00,2025-10-17T21:25:23-07:00,1,13
styles.css,74,css,b0d493a4,VivianChencwy,2025-10-17,21:25:23,-07:00,2025-10-17T21:25:23-07:00,0,0
styles.css,75,css,b0d493a4,VivianChencwy,2025-10-17,21:25:23,-07:00,2025-10-17T21:25:23-07:00,0,0
styles.css,76,css,b0d493a4,VivianChencwy,2025-10-17,21:25:23,-07:00,2025-10-17T21:25:23-07:00,0,28
styles.css,77,css,b0d493a4,VivianChencwy,2025-10-17,21:25:23,-07:00,2025-10-17T21:25:23-07:00,1,13
styles.css,78,css,b0d493a4,VivianChencwy,2025-10-17,21:25:23,-07:00,2025-10-17T21:25:23-07:00,0,0
styles.css,79,css,b0d493a4,VivianChencwy,2025-10-17,21:25:23,-07:00,2025-10-17T21:25:23-07:00,0,0
styles.css,80,css,b0d493a4,VivianChencwy,2025-10-17,21:25:23,-07:00,2025-10-17T21:25:23-07:00,0,29
styles.css,81,css,b0d493a4,VivianChencwy,2025-10-17,21:25:23,-07:00,2025-10-17T21:25:23-07:00,1,13
styles.css,82,css,b0d493a4,VivianChencwy,2025-10-17,21:25:23,-07:00,2025-10-17T21:25:23-07:00,0,0
styles.css,83,css,b0d493a4,VivianChencwy,2025-10-17,21:25:23,-07:00,2025-10-17T21:25:23-07:00,0,0
styles.css,84,css,b0d493a4,VivianChencwy,2025-10-17,21:25:23,-07:00,2025-10-17T21:25:23-07:00,0,35
styles.css,85,css,b0d493a4,VivianChencwy,2025-10-17,21:25:23,-07:00,2025-10-17T21:25:23-07:00,1,13
styles.css,86,css,b0d493a4,VivianChencwy,2025-10-17,21:25:23,-07:00,2025-10-17T21:25:23-07:00,0,0
styles.css,87,css,b0d493a4,VivianChencwy,2025-10-17,21:25:23,-07:00,2025-10-17T21:25:23-07:00,0,0
styles.css,88,css,b728fd86,VivianChencwy,2025-10-23,23:52:05,-07:00,2025-10-23T23:52:05-07:00,0,25
styles.css,89,css,b728fd86,VivianChencwy,2025-10-23,23:52:05,-07:00,2025-10-23T23:52:05-07:00,1,13
styles.css,90,css,b728fd86,VivianChencwy,2025-10-23,23:52:05,-07:00,2025-10-23T23:52:05-07:00,0,0
styles.css,91,css,b728fd86,VivianChencwy,2025-10-23,23:52:05,-07:00,2025-10-23T23:52:05-07:00,0,0
styles.css,92,css,b728fd86,VivianChencwy,2025-10-23,23:52:05,-07:00,2025-10-23T23:52:05-07:00,0,31
styles.css,93,css,b728fd86,VivianChencwy,2025-10-23,23:52:05,-07:00,2025-10-23T23:52:05-07:00,1,13
